[2016-10-02 11:32:41.225] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县明光乡松园崖子脚社, 1]
[2016-10-02 11:32:41.226] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县明光乡茶子田2社, 1]
[2016-10-02 11:32:41.226] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县明光乡鸦乌山三社, 1]
[2016-10-02 11:32:41.227] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县明光乡鸦乌老家寨, 1]
[2016-10-02 11:32:41.228] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县明光乡麻粟树, 1]
[2016-10-02 11:32:41.228] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县曲石乡回街河头, 1]
[2016-10-02 11:32:41.229] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县曲石乡回街河头社, 1]
[2016-10-02 11:32:41.229] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县曲石乡江南三社, 1]
[2016-10-02 11:32:41.230] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县曲石乡江南井头社, 1]
[2016-10-02 11:32:41.230] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市腾冲县曲石乡清河碗窑坡, 1]
